City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,80.15,light rain,-23.1203,-134.9692,People ThankYou
2,Arlit,NE,75.79,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
6,Flinders,AU,75.25,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
9,Makakilo City,US,76.28,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
10,Nizwa,OM,79.34,clear sky,22.9333,57.5333,Orient Apartments
11,Am Timan,TD,77.2,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
14,Ormara,PK,76.37,clear sky,25.2088,64.6357,Kenara Colony house for Rent
17,Cockburn Town,TC,77.41,clear sky,21.4612,-71.1419,Osprey Beach Hotel
20,Souillac,MU,77.38,shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
21,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
23,Vaini,TO,81.66,overcast clouds,-21.2,-175.2,Keleti Beach Resort
27,Busselton,AU,77.25,clear sky,-33.65,115.3333,Observatory Guest House
29,Hithadhoo,MV,83.98,overcast clouds,-0.6,73.0833,Scoop Guest House
31,Dingle,PH,88.92,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
35,Illela,NG,77.29,broken clouds,13.7292,5.2975,
37,Atuona,PF,78.62,light rain,-9.8,-139.0333,Villa Enata
40,Puerto Ayora,EC,75.54,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
44,Kintampo,GH,75.07,overcast clouds,8.0563,-1.7306,Adomaa Memorial Hotel
45,Tumut,AU,84.99,clear sky,-35.3,148.2167,Amaroo Motel
48,Faanui,PF,83.17,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
51,Cabo San Lucas,MX,76.3,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
53,Lagos,NG,82.72,light rain,6.5833,3.75,
56,Touros,BR,78.15,light rain,-5.1989,-35.4608,INN NEW HORIZON
57,Nabire,ID,84.49,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
58,Kavieng,PG,85.6,broken clouds,-2.5744,150.7967,Nusa Island Retreat
60,Bengkulu,ID,84.61,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
61,Butaritari,KI,81.59,broken clouds,3.0707,172.7902,Isles Sunset Lodge
78,Grand Gaube,MU,83.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
80,Port Blair,IN,77.04,heavy intensity rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
81,Muli,MV,83.5,broken clouds,2.9167,73.5667,Medhufushi Island Resort
84,Pochutla,MX,79.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
85,Hilo,US,76.73,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
86,Kapaa,US,76.98,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
87,Tautira,PF,82.27,scattered clouds,-17.7333,-149.15,Pension Oaoa
89,Arraial Do Cabo,BR,75.27,light rain,-22.9661,-42.0278,Pousada Porto Praia
92,Airai,TL,75.96,overcast clouds,-8.9266,125.4092,
97,Sinnamary,GF,76.53,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
98,The Valley,AI,77.09,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
101,Carnarvon,AU,84.27,few clouds,-24.8667,113.6333,Hospitality Carnarvon
102,Ahuimanu,US,77.45,broken clouds,21.4447,-157.8378,Paradise Bay Resort
104,Hervey Bay,AU,78.96,clear sky,-25.2986,152.8535,Shelly Bay Resort
106,Buchanan,LR,77.72,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
108,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
118,Georgetown,MY,80.55,few clouds,5.4112,100.3354,Cititel Penang
121,Kahului,US,77.02,light rain,20.8947,-156.47,Maui Seaside Hotel
123,Buala,SB,85.46,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
127,Geraldton,AU,81.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
128,Isangel,VU,81.18,light rain,-19.55,169.2667,Tanna Lodge
136,Gizo,SB,86.4,broken clouds,-8.103,156.8419,Imagination Island
137,Saint-Philippe,RE,81.1,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
143,Kaduqli,SD,77.54,clear sky,11.0167,29.7167,Nussyba
156,Port-Gentil,GA,79.63,light rain,-0.7193,8.7815,Fengshui Residence
160,Cozumel,MX,77.0,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
162,Tame,CO,78.13,broken clouds,6.461,-71.73,Hospedaje Santa Ana
170,Mahebourg,MU,83.25,shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
172,Ewa Beach,US,77.68,broken clouds,21.3156,-158.0072,Base Lodging
174,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
190,Namatanai,PG,85.87,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
193,Poum,NC,81.0,overcast clouds,-20.2333,164.0167,
203,Kendari,ID,85.19,overcast clouds,-3.945,122.4989,Hotel Wixel
204,Baglung,NP,82.81,few clouds,28.2719,83.5898,Hotel Peace Palace
208,Alofi,NU,84.09,broken clouds,-19.0595,-169.9187,Taloa Heights
212,Trairi,BR,75.63,overcast clouds,-3.2778,-39.2689,janelas do mar
219,Victoria,HK,86.18,overcast clouds,22.2855,114.1577,Mini Hotel Central
220,Bambous Virieux,MU,83.21,shower rain,-20.3428,57.7575,Casa Tia Villa
224,Pailitas,CO,77.94,broken clouds,8.9565,-73.6255,HOTEL JECENTER
229,Eruwa,NG,77.45,broken clouds,7.5333,3.4167,Yinka Hostel
230,Soe,ID,82.65,broken clouds,-9.8607,124.284,Dena Hotel
231,Hambantota,LK,86.34,few clouds,6.1241,81.1185,Bungalow 63
238,Progreso,MX,77.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
240,Kourou,GF,79.11,overcast clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
243,Mersing,MY,80.51,scattered clouds,2.4312,103.8405,Timotel Hotel
249,Cayenne,GF,79.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
269,Canton,CN,80.55,overcast clouds,23.1167,113.25,Shangjiuwan Hotel
276,Juba,SS,83.64,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
278,Kirakira,SB,84.74,overcast clouds,-10.4544,161.9205,SanBiz Lodge
281,Tulum,MX,75.18,clear sky,20.2167,-87.4667,Kin Ha Tulum
284,Ballina,AU,80.78,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
290,Martapura,ID,89.33,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
296,Takoradi,GH,78.26,broken clouds,4.8845,-1.7554,Raybow International Hotel
299,Sunbury,AU,88.7,clear sky,-37.5833,144.7333,Sunbury Motor Inn
302,Lhokseumawe,ID,81.68,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
306,Sola,VU,82.85,overcast clouds,-13.8833,167.55,Leumerus Bungalows
311,Kalmunai,LK,85.46,clear sky,7.4167,81.8167,VS Villa
321,Bonthe,SL,75.29,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
322,Dzilam Gonzalez,MX,76.01,clear sky,21.2833,-88.9333,posadas
326,Fare,PF,82.71,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
329,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
331,Sainte-Suzanne,RE,83.46,few clouds,-20.9061,55.6089,Gites Ango
332,Kiama,AU,75.45,scattered clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
339,Palauig,PH,88.2,broken clouds,15.435,119.9045,Alperi Botique Resort
353,Kaeo,NZ,75.33,clear sky,-35.1,173.7833,Bushido Lodge
354,Iralaya,HN,78.24,overcast clouds,15.0,-83.2333,Iglesia morava renovada
356,Meulaboh,ID,76.84,overcast clouds,4.1363,96.1285,Kost Pria
360,Lethem,GY,76.28,scattered clouds,3.3803,-59.7968,Savannah Inn
361,Gua Musang,MY,86.83,overcast clouds,4.8823,101.9644,Mines Inn Hotel
363,Acapulco,MX,76.82,smoke,16.8634,-99.8901,HS Hotsson Smart Acapulco
364,Sur,OM,79.11,clear sky,22.5667,59.5289,Sur Plaza Hotel
366,Pedernales,DO,77.22,clear sky,18.0384,-71.744,Hotel Costa Marina
374,Manokwari,ID,83.44,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
375,Kieta,PG,85.89,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
379,Manado,ID,77.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
384,Panzhihua,CN,86.14,overcast clouds,26.5851,101.7128,Electric Power Hotel
398,Itarema,BR,76.5,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
399,Dabakala,CI,76.95,overcast clouds,8.3667,-4.4333,Hôtel Campement
400,Tiruvalla,IN,88.77,clear sky,9.3833,76.5667,Edasseriathu Homestays Tiruvalla
403,Bombay,IN,85.98,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
404,Natal,BR,75.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
407,Raga,SS,76.41,scattered clouds,8.4596,25.678,
410,Celestun,MX,77.95,scattered clouds,20.8667,-90.4,Posada Lilia
411,Padang,ID,89.65,overcast clouds,-0.9492,100.3543,Mercure Padang
417,Loanda,AO,76.66,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
421,Kismayo,SO,81.59,few clouds,-0.3582,42.5454,Agan-Hotel
423,Macapa,BR,78.78,broken clouds,0.0389,-51.0664,Atalanta Hotel
424,Wanning,CN,84.88,light rain,18.8003,110.3967,Paradise Hotel
431,Soyo,AO,78.85,overcast clouds,-6.1349,12.3689,Hotel Mpampa
432,Ambilobe,MG,78.98,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
434,Saint-Joseph,RE,80.1,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
435,Noumea,NC,82.99,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
439,Vanimo,PG,85.96,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
443,Mogadishu,SO,82.27,scattered clouds,2.0371,45.3438,Hotel Juba
447,San Miguel,SV,81.23,scattered clouds,13.4833,-88.1833,Excalibur
448,Srandakan,ID,86.07,overcast clouds,-7.9386,110.2506,Puri Brata
453,Puerto Escondido,MX,79.38,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
455,Lorengau,PG,85.98,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
458,Epe,NG,79.56,overcast clouds,6.5841,3.9834,MAGVILLE HOTEL
460,Vaitape,PF,83.17,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
461,Banda Aceh,ID,86.05,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
462,Axim,GH,78.03,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
463,Nha Trang,VN,86.0,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
472,Kefamenanu,ID,86.81,overcast clouds,-9.4467,124.4781,Sokowindo Losmen
473,Minuri,PH,89.11,scattered clouds,16.535,121.8574,
476,Tutoia,BR,76.33,overcast clouds,-2.7619,-42.2744,Pousada Guará's
480,Nalvo,PH,88.43,few clouds,16.8096,120.5108,SABALO RESIDENCE
488,Mitsamiouli,KM,80.89,light rain,-11.3847,43.2844,Foyer ADM
489,Mormugao,IN,83.46,few clouds,15.4,73.8,Coconut Creek Resort
496,Zhuhai,CN,85.86,mist,22.2769,113.5678,珠海粤财假日酒店
499,Tari,NG,80.4,overcast clouds,12.4086,4.4914,
502,Banjar,ID,86.2,overcast clouds,-8.19,114.9675,The Hamsa Resort
503,Kulhudhuffushi,MV,83.1,scattered clouds,6.6221,73.07,Haajy Guest House 1
509,Gaoual,GN,76.41,overcast clouds,11.75,-13.2,Hotel koliba
519,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
524,Norsup,VU,78.89,moderate rain,-16.0667,167.3833,Nabelchel Bungalows
528,Daru,PG,85.95,broken clouds,-9.0763,143.2092,Daru Lodge
532,Villa Del Rosario,CO,75.58,haze,7.8339,-72.4742,Hotel Villas de San Diego
535,Sumbe,AO,77.61,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
539,Kloulklubed,PW,83.62,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
540,Tabou,CI,77.09,broken clouds,4.423,-7.3528,hotêl doufoulougou
544,Nishihara,JP,76.66,broken clouds,26.1842,127.7558,Minshuku Agaihama
572,Kannangad,IN,86.36,scattered clouds,12.3081,75.1063,Hotel Landmark
574,Innisfail,AU,81.9,broken clouds,-17.5333,146.0333,Moondarra Motel
579,Swedru,GH,75.38,overcast clouds,5.5371,-0.6998,Emma-Ike Guesthouse
583,Ligayan,PH,79.32,light rain,4.6533,119.4706,
585,Tiruchchendur,IN,89.89,clear sky,8.4833,78.1167,Hotel Udhayam International
588,Gibgos,PH,83.34,overcast clouds,13.859,123.7675,
589,Kathmandu,NP,77.22,few clouds,27.7167,85.3167,Hotel Shanker Kathmandu
592,Merauke,ID,83.93,overcast clouds,-8.4667,140.3333,
595,Labuhan,ID,86.0,overcast clouds,-6.8844,112.2051,DoubleFAG
597,Hobyo,SO,80.87,clear sky,5.3505,48.5268,Iftin hotel hobyo
598,Ternate,ID,83.64,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
603,Biloela,AU,89.24,clear sky,-24.4167,150.5,Biloela Silo Motor Inn
605,Port Macquarie,AU,78.89,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
606,Itoman,JP,77.38,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
609,Singaraja,ID,85.51,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
610,Tirumala,IN,82.58,scattered clouds,13.6833,79.35,Anjanadri Nagar Cottages
613,Tha Bo,TH,86.99,scattered clouds,17.85,102.5814,บ้านพักริมโขง รีสอร์ท
614,Massaguet,TD,76.3,broken clouds,12.4755,15.4365,Alwatane
615,Port Pirie,AU,77.09,few clouds,-33.1833,138.0167,John Pirie Motor Inn
619,Road Town,VG,75.99,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
621,Alice Town,BS,75.56,scattered clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
622,Acajutla,SV,80.49,scattered clouds,13.5928,-89.8275,Laureles
623,Ciudad Bolivar,VE,76.03,broken clouds,8.1222,-63.5497,Hotel Edi
624,Tual,ID,84.36,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
626,San Ignacio,BZ,75.34,clear sky,17.1561,-89.0714,Rainforest Haven Inn
629,Charters Towers,AU,89.22,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
630,Bowen,AU,83.97,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
632,Nicoya,CR,76.53,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
634,Eyl,SO,79.0,clear sky,7.9803,49.8164,Amiin Hotel
635,Kavaratti,IN,81.84,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
636,Sarangani,PH,82.51,moderate rain,5.4033,125.4636,Ballistic Islet
643,Pemalang,ID,84.54,light rain,-6.9,109.3667,The Winner Hotel Pemalang
648,Amahai,ID,83.75,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
650,Bagotville,AU,78.85,clear sky,-28.9833,153.4167,Broadwater Sunrise Caravan Park
660,Boa Vista,BR,77.29,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
664,Qeshm,IR,76.87,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
