City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,80.15,73,9,13.24,light rain
1,San Patricio,US,28.017,-97.5169,70.07,82,100,16.06,overcast clouds
2,Arlit,NE,18.7369,7.3853,75.79,14,73,9.93,broken clouds
3,Okha,RU,53.5739,142.9478,19.13,75,12,20.07,few clouds
4,Spijkenisse,NL,51.845,4.3292,39.02,78,0,2.3,clear sky
5,Punta Arenas,CL,-53.15,-70.9167,44.71,87,0,9.22,clear sky
6,Flinders,AU,-34.5833,150.8552,75.25,63,47,7.52,scattered clouds
7,El Retorno,CO,2.3302,-72.6276,72.1,99,100,1.23,overcast clouds
8,Mataura,NZ,-46.1927,168.8643,69.21,54,75,5.57,broken clouds
9,Makakilo City,US,21.3469,-158.0858,76.28,74,75,9.22,broken clouds
10,Nizwa,OM,22.9333,57.5333,79.34,17,0,1.97,clear sky
11,Am Timan,TD,11.0297,20.2827,77.2,12,85,5.93,overcast clouds
12,Odweyne,SO,9.4092,45.064,72.01,47,56,7.72,broken clouds
13,Ushuaia,AR,-54.8,-68.3,47.86,81,20,14.97,few clouds
14,Ormara,PK,25.2088,64.6357,76.37,70,0,4.05,clear sky
15,East London,ZA,-33.0153,27.9116,65.34,100,20,2.3,few clouds
16,Tura,IN,25.5198,90.2201,90.82,20,4,4.81,clear sky
17,Cockburn Town,TC,21.4612,-71.1419,77.41,75,0,14.9,clear sky
18,Norman Wells,CA,65.282,-126.8329,1.44,66,100,17.27,light snow
19,Leningradskiy,RU,69.3833,178.4167,-1.89,89,8,0.45,clear sky
20,Souillac,MU,-20.5167,57.5167,77.38,100,75,0.0,shower rain
21,Avarua,CK,-21.2078,-159.775,82.45,78,20,12.66,few clouds
22,Saskylakh,RU,71.9167,114.0833,6.78,94,99,2.66,overcast clouds
23,Vaini,TO,-21.2,-175.2,81.66,69,100,13.51,overcast clouds
24,Chokurdakh,RU,70.6333,147.9167,-1.57,90,10,5.5,clear sky
25,Upernavik,GL,72.7868,-56.1549,-17.95,87,34,5.77,scattered clouds
26,Kodiak,US,57.79,-152.4072,36.91,75,75,12.66,light rain
27,Busselton,AU,-33.65,115.3333,77.25,35,2,6.55,clear sky
28,Arman,RU,59.7,150.1667,30.02,88,100,11.56,light snow
29,Hithadhoo,MV,-0.6,73.0833,83.98,69,91,13.53,overcast clouds
30,Bethel,US,41.3712,-73.414,44.76,74,100,5.75,overcast clouds
31,Dingle,PH,10.9995,122.6711,88.92,60,77,13.73,broken clouds
32,Brasilia De Minas,BR,-16.2064,-44.4333,70.14,65,68,4.92,broken clouds
33,Bluff,NZ,-46.6,168.3333,60.62,82,42,15.1,scattered clouds
34,Yellowknife,CA,62.456,-114.3525,27.41,80,40,9.22,scattered clouds
35,Illela,NG,13.7292,5.2975,77.29,17,60,2.51,broken clouds
36,Nikolskoye,RU,59.7035,30.7861,33.87,96,76,4.34,broken clouds
37,Atuona,PF,-9.8,-139.0333,78.62,81,56,16.49,light rain
38,Jamestown,US,42.097,-79.2353,38.84,50,0,9.22,clear sky
39,Huilong,CN,31.8111,121.655,44.92,88,100,19.8,moderate rain
40,Puerto Ayora,EC,-0.7393,-90.3518,75.54,100,30,1.74,scattered clouds
41,Pankrushikha,RU,53.8319,80.3406,15.85,90,100,17.0,overcast clouds
42,Cidreira,BR,-30.1811,-50.2056,67.55,59,62,13.22,broken clouds
43,Nanortalik,GL,60.1432,-45.2371,11.3,75,3,7.52,clear sky
44,Kintampo,GH,8.0563,-1.7306,75.07,80,100,4.03,overcast clouds
45,Tumut,AU,-35.3,148.2167,84.99,32,10,8.84,clear sky
46,College,US,64.8569,-147.8028,14.32,57,20,12.66,few clouds
47,Saint George,US,37.1041,-113.5841,51.44,26,0,16.11,clear sky
48,Faanui,PF,-16.4833,-151.75,83.17,67,8,20.94,clear sky
49,Kaitangata,NZ,-46.2817,169.8464,62.06,80,77,13.33,broken clouds
50,Wanganui,NZ,-39.9333,175.05,67.59,78,100,15.01,overcast clouds
51,Cabo San Lucas,MX,22.8909,-109.9124,76.3,64,40,13.8,scattered clouds
52,Thompson,CA,55.7435,-97.8558,17.76,67,0,5.75,clear sky
53,Lagos,NG,6.5833,3.75,82.72,85,100,5.35,light rain
54,Nirasaki,JP,35.7,138.45,58.48,38,95,1.99,overcast clouds
55,Yulara,AU,-25.2406,130.9889,98.44,12,0,10.36,clear sky
56,Touros,BR,-5.1989,-35.4608,78.15,84,94,9.15,light rain
57,Nabire,ID,-3.3667,135.4833,84.49,71,91,5.82,overcast clouds
58,Kavieng,PG,-2.5744,150.7967,85.6,67,71,8.75,broken clouds
59,Hofn,IS,64.2539,-15.2082,38.66,70,100,6.2,overcast clouds
60,Bengkulu,ID,-3.8004,102.2655,84.61,61,84,6.46,broken clouds
61,Butaritari,KI,3.0707,172.7902,81.59,79,53,18.23,broken clouds
62,San Juan,AR,-31.5375,-68.5364,63.25,53,0,8.52,clear sky
63,Cumpas,MX,29.9833,-109.7833,51.1,38,3,5.39,clear sky
64,Ontario,US,34.0633,-117.6509,62.31,55,0,5.75,clear sky
65,Pacific Grove,US,36.6177,-121.9166,54.01,79,0,9.22,clear sky
66,Maniitsoq,GL,65.4167,-52.9,-11.92,78,1,5.97,clear sky
67,Kormilovka,RU,55.0026,74.1028,13.17,93,98,15.64,overcast clouds
68,Barrow,US,71.2906,-156.7887,-23.78,62,0,10.36,clear sky
69,Pevek,RU,69.7008,170.3133,-3.6,89,59,4.18,broken clouds
70,Ahar,IR,38.4774,47.0699,22.51,92,100,5.88,light snow
71,Lebu,CL,-37.6167,-73.65,55.96,94,26,5.01,scattered clouds
72,Half Moon Bay,US,37.4636,-122.4286,53.87,70,20,18.41,haze
73,Hami,CN,42.8,93.45,43.68,30,100,2.73,overcast clouds
74,Andenes,NO,69.3143,16.1194,44.58,61,0,37.98,clear sky
75,Puerto Maldonado,PE,-12.6,-69.1833,68.58,99,70,2.08,broken clouds
76,Olafsvik,IS,64.8945,-23.7142,33.46,66,100,7.58,overcast clouds
77,Cape Town,ZA,-33.9258,18.4232,66.11,85,0,10.36,clear sky
78,Grand Gaube,MU,-20.0064,57.6608,83.37,84,59,1.99,broken clouds
79,Leova,MD,46.4786,28.2553,32.85,72,1,6.6,clear sky
80,Port Blair,IN,11.6667,92.75,77.04,88,100,5.75,heavy intensity rain
81,Muli,MV,2.9167,73.5667,83.5,71,83,14.76,broken clouds
82,Nova Olimpia,BR,-14.7972,-57.2881,71.06,99,50,3.2,scattered clouds
83,Narsaq,GL,60.9167,-46.05,10.62,67,0,7.16,clear sky
84,Pochutla,MX,15.7432,-96.4661,79.83,64,1,3.58,clear sky
85,Hilo,US,19.7297,-155.09,76.73,82,75,10.36,broken clouds
86,Kapaa,US,22.0752,-159.319,76.98,82,100,9.22,moderate rain
87,Tautira,PF,-17.7333,-149.15,82.27,72,26,16.42,scattered clouds
88,Belyy Yar,RU,53.6039,91.3903,31.89,48,0,6.71,clear sky
89,Arraial Do Cabo,BR,-22.9661,-42.0278,75.27,85,98,21.72,light rain
90,Port Alfred,ZA,-33.5906,26.891,71.37,88,22,9.51,few clouds
91,Talnakh,RU,69.4865,88.3972,6.21,94,87,5.28,overcast clouds
92,Airai,TL,-8.9266,125.4092,75.96,56,92,2.21,overcast clouds
93,Belfast,GB,54.5833,-5.9333,45.19,88,100,6.91,overcast clouds
94,Bahia Blanca,AR,-38.7196,-62.2724,64.92,44,100,15.9,overcast clouds
95,Lompoc,US,34.6391,-120.4579,55.78,78,0,23.0,clear sky
96,Oni,GE,42.5794,43.4425,30.43,76,96,2.26,overcast clouds
97,Sinnamary,GF,5.3833,-52.95,76.53,86,99,11.7,overcast clouds
98,The Valley,AI,18.217,-63.0578,77.09,75,2,19.19,clear sky
99,Ponta Do Sol,PT,32.6667,-17.1,57.7,71,50,2.68,scattered clouds
100,Carutapera,BR,-1.195,-46.02,74.66,95,100,3.0,overcast clouds
101,Carnarvon,AU,-24.8667,113.6333,84.27,51,17,25.32,few clouds
102,Ahuimanu,US,21.4447,-157.8378,77.45,83,75,9.22,broken clouds
103,Pangnirtung,CA,66.1451,-65.7125,-15.7,70,77,6.04,broken clouds
104,Hervey Bay,AU,-25.2986,152.8535,78.96,51,4,17.13,clear sky
105,Navoloki,RU,57.4657,41.9634,34.74,88,89,11.81,overcast clouds
106,Buchanan,LR,5.8808,-10.0467,77.72,91,67,1.92,broken clouds
107,Tuatapere,NZ,-46.1333,167.6833,65.57,63,56,6.29,broken clouds
108,Manta,EC,-0.95,-80.7333,78.58,89,75,2.3,broken clouds
109,Albany,US,42.6001,-73.9662,41.41,80,92,10.0,overcast clouds
110,Saldanha,ZA,-33.0117,17.9442,62.65,89,0,8.7,clear sky
111,Hajnowka,PL,52.7433,23.5812,33.82,73,0,3.76,clear sky
112,Lata,PT,40.1629,-8.3327,51.08,87,84,6.53,broken clouds
113,Nueva Loja,EC,0.0847,-76.8828,70.43,99,99,2.21,overcast clouds
114,Muros,ES,42.7762,-9.0603,50.85,83,90,6.69,overcast clouds
115,Bredasdorp,ZA,-34.5322,20.0403,64.33,94,7,4.81,clear sky
116,Klaksvik,FO,62.2266,-6.589,45.52,91,99,18.61,overcast clouds
117,Borzya,RU,50.3833,116.5167,25.41,44,2,13.8,clear sky
118,Georgetown,MY,5.4112,100.3354,80.55,78,20,5.01,few clouds
119,Torbay,CA,47.6666,-52.7314,31.75,96,100,28.77,overcast clouds
120,Katsuura,JP,35.1333,140.3,49.53,71,100,8.23,overcast clouds
121,Kahului,US,20.8947,-156.47,77.02,78,75,10.36,light rain
122,Jalu,LY,29.0331,21.5482,48.13,63,21,13.62,few clouds
123,Buala,SB,-8.145,159.5921,85.46,62,67,3.31,broken clouds
124,Scottsbluff,US,41.8666,-103.6672,58.32,47,0,9.22,clear sky
125,Dikson,RU,73.5069,80.5464,-5.64,99,95,8.95,overcast clouds
126,Pathri,IN,19.25,76.45,95.34,13,26,10.0,scattered clouds
127,Geraldton,AU,-28.7667,114.6,81.01,54,4,21.85,clear sky
128,Isangel,VU,-19.55,169.2667,81.18,85,100,20.54,light rain
129,Rawson,AR,-43.3002,-65.1023,63.95,57,100,12.35,light rain
130,Iquique,CL,-20.2208,-70.1431,66.24,77,97,0.65,overcast clouds
131,San Bartolome De Tirajana,ES,27.9248,-15.5733,52.27,65,75,11.5,broken clouds
132,Paragominas,BR,-2.9667,-47.4833,70.34,98,97,2.86,heavy intensity rain
133,Tasiilaq,GL,65.6145,-37.6368,3.36,62,8,7.43,clear sky
134,Aklavik,CA,68.2191,-135.0107,-4.85,97,100,11.07,light snow
135,Namibe,AO,-15.1961,12.1522,72.99,85,100,5.59,overcast clouds
136,Gizo,SB,-8.103,156.8419,86.4,63,83,7.31,broken clouds
137,Saint-Philippe,RE,-21.3585,55.7679,81.1,84,92,8.68,overcast clouds
138,Chikwawa,MW,-16.0335,34.8009,69.93,95,100,3.83,overcast clouds
139,Qaanaaq,GL,77.484,-69.3632,-6.43,93,100,8.75,overcast clouds
140,Eenhana,NA,-17.4667,16.3333,64.85,93,16,4.99,few clouds
141,Karratha,AU,-20.7377,116.8463,96.55,39,77,14.34,broken clouds
142,Tateyama,JP,34.9833,139.8667,49.46,72,100,3.89,overcast clouds
143,Kaduqli,SD,11.0167,29.7167,77.54,8,8,11.32,clear sky
144,Cherskiy,RU,68.75,161.3,15.62,80,100,8.41,overcast clouds
145,Atamanskaya,RU,46.1773,39.6358,31.78,57,35,5.06,scattered clouds
146,Severo-Kurilsk,RU,50.6789,156.125,30.36,93,100,42.93,snow
147,San Cristobal,VE,7.7669,-72.225,69.98,74,95,1.03,overcast clouds
148,Yukamenskoye,RU,57.8865,52.2416,25.86,85,72,15.52,broken clouds
149,Coquimbo,CL,-29.9533,-71.3436,56.93,88,0,3.44,clear sky
150,Caravelas,BR,-17.7125,-39.2481,74.68,87,40,2.24,scattered clouds
151,Hermanus,ZA,-34.4187,19.2345,68.81,90,12,9.84,few clouds
152,Abu Dhabi,AE,24.4667,54.3667,69.96,85,0,6.91,clear sky
153,Port Lincoln,AU,-34.7333,135.8667,70.75,65,89,10.78,overcast clouds
154,Ofaqim,IL,31.3141,34.6203,41.7,61,46,6.26,scattered clouds
155,Nome,US,64.5011,-165.4064,12.27,67,0,0.0,clear sky
156,Port-Gentil,GA,-0.7193,8.7815,79.63,83,100,15.08,light rain
157,Hobart,AU,-42.8794,147.3294,74.23,66,75,8.05,broken clouds
158,Liberia,LR,6.5,-9.5,72.72,98,88,1.74,overcast clouds
159,San Martin,AR,-33.081,-68.4681,64.94,58,0,8.03,clear sky
160,Cozumel,MX,20.5083,-86.9458,77.0,86,4,5.01,clear sky
161,La Ronge,CA,55.1001,-105.2842,35.85,64,100,10.36,overcast clouds
162,Tame,CO,6.461,-71.73,78.13,54,66,4.29,broken clouds
163,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.03,89,81,9.01,broken clouds
164,Helong,CN,42.5397,128.9972,37.44,40,55,10.58,broken clouds
165,Aswan,EG,24.0934,32.907,60.1,36,0,4.61,clear sky
166,Katangli,RU,51.7102,143.2326,24.37,68,31,18.05,scattered clouds
167,Fraserburgh,GB,57.6874,-2.0184,36.12,88,1,7.07,clear sky
168,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,77,77,13.96,broken clouds
169,Grindavik,IS,63.8424,-22.4338,32.47,74,75,4.61,broken clouds
170,Mahebourg,MU,-20.4081,57.7,83.25,100,75,0.0,shower rain
171,Bereda,ES,43.2686,-7.5406,43.57,100,59,2.15,broken clouds
172,Ewa Beach,US,21.3156,-158.0072,77.68,74,75,9.22,broken clouds
173,Iranshahr,IR,27.2025,60.6848,73.74,16,0,4.61,clear sky
174,Olinda,BR,-8.0089,-34.8553,82.13,78,40,6.91,scattered clouds
175,Ancud,CL,-41.8697,-73.8203,52.07,93,98,8.3,overcast clouds
176,Hamilton,US,39.1834,-84.5333,51.78,68,0,6.91,clear sky
177,Khandagayty,RU,50.7333,92.05,10.78,89,91,3.96,overcast clouds
178,Port Victoria,KE,0.0939,33.9756,74.55,60,56,3.89,broken clouds
179,Chimbote,PE,-9.0853,-78.5783,69.42,84,100,7.05,overcast clouds
180,Uyuni,BO,-20.4597,-66.825,52.63,59,97,5.12,overcast clouds
181,Castro,BR,-24.7911,-50.0119,56.95,92,92,8.34,overcast clouds
182,Sovetskiy,RU,61.3614,63.5842,25.48,87,100,14.25,overcast clouds
183,Sioux Lookout,CA,50.1001,-91.917,35.67,48,20,5.75,few clouds
184,Port Elizabeth,ZA,-33.918,25.5701,66.31,98,75,2.3,broken clouds
185,Calvinia,ZA,-31.4707,19.776,69.37,56,3,2.15,clear sky
186,New Norfolk,AU,-42.7826,147.0587,73.89,45,92,3.0,light rain
187,Sitka,US,57.0531,-135.33,40.89,65,100,19.57,light rain
188,Tshikapa,CD,-6.4167,20.8,69.37,96,64,1.23,broken clouds
189,Pozo Colorado,PY,-23.4923,-58.7972,71.56,52,54,6.71,broken clouds
190,Namatanai,PG,-3.6667,152.4333,85.87,64,80,7.4,broken clouds
191,Zaozerne,UA,45.1582,33.2787,32.76,62,0,13.09,clear sky
192,Vardo,NO,70.3705,31.1107,36.55,75,100,20.31,overcast clouds
193,Poum,NC,-20.2333,164.0167,81.0,74,95,18.21,overcast clouds
194,Altamira,BR,-3.2033,-52.2064,71.4,99,100,1.83,overcast clouds
195,Pangody,RU,65.85,74.4859,15.76,95,97,9.53,overcast clouds
196,Praia Da Vitoria,PT,38.7333,-27.0667,56.75,82,20,16.91,few clouds
197,Roald,NO,62.5833,6.1333,39.76,86,0,3.44,clear sky
198,Huittinen,FI,61.1833,22.7,25.41,89,7,4.85,clear sky
199,Puerto Narino,CO,-3.7703,-70.3831,72.93,99,100,2.95,light rain
200,Mount Gambier,AU,-37.8333,140.7667,71.51,53,40,14.97,scattered clouds
201,Evanston,US,42.0411,-87.6901,53.1,64,20,4.61,few clouds
202,Longyearbyen,SJ,78.2186,15.6401,24.64,86,100,29.93,snow
203,Kendari,ID,-3.945,122.4989,85.19,68,99,5.28,overcast clouds
204,Baglung,NP,28.2719,83.5898,82.81,20,13,5.35,few clouds
205,Turukhansk,RU,65.8167,87.9833,20.39,92,100,6.29,overcast clouds
206,Taft,IR,31.7471,54.2088,62.55,18,0,0.0,clear sky
207,Port Hardy,CA,50.6996,-127.4199,42.98,87,100,25.32,overcast clouds
208,Alofi,NU,-19.0595,-169.9187,84.09,70,75,9.22,broken clouds
209,Beloostrov,RU,60.1512,30.0015,33.98,94,88,6.64,overcast clouds
210,Wundanyi,KE,-3.4019,38.364,65.16,69,3,2.86,clear sky
211,Pontes E Lacerda,BR,-15.2261,-59.3353,69.4,98,31,1.25,scattered clouds
212,Trairi,BR,-3.2778,-39.2689,75.63,89,97,5.03,overcast clouds
213,Almeirim,BR,-1.5233,-52.5817,73.22,98,100,3.38,light rain
214,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,70,75,9.22,light snow
215,Umm Lajj,SA,25.0213,37.2685,68.07,56,0,5.48,clear sky
216,Khatanga,RU,71.9667,102.5,10.11,91,100,4.27,overcast clouds
217,Lusambo,CD,-4.9667,23.45,67.75,98,93,1.39,light rain
218,Rosetta,EG,31.4044,30.4164,52.7,57,72,12.66,broken clouds
219,Victoria,HK,22.2855,114.1577,86.18,89,91,10.0,overcast clouds
220,Bambous Virieux,MU,-20.3428,57.7575,83.21,100,75,0.0,shower rain
221,Broome,US,42.2506,-75.833,40.86,67,0,13.8,clear sky
222,Colquechaca,BO,-18.6667,-66.0167,34.52,86,99,3.24,overcast clouds
223,Azare,NG,11.6765,10.1948,72.82,10,92,5.01,overcast clouds
224,Pailitas,CO,8.9565,-73.6255,77.94,75,78,3.49,broken clouds
225,Karoi,ZW,-16.8099,29.6925,60.1,97,52,3.31,broken clouds
226,Iqaluit,CA,63.7506,-68.5145,-6.07,71,100,4.61,overcast clouds
227,Masakin,TN,35.7292,10.5808,51.24,87,75,4.61,broken clouds
228,Iisalmi,FI,63.5592,27.1907,30.85,89,63,4.07,broken clouds
229,Eruwa,NG,7.5333,3.4167,77.45,88,82,4.81,broken clouds
230,Soe,ID,-9.8607,124.284,82.65,55,81,4.21,broken clouds
231,Hambantota,LK,6.1241,81.1185,86.34,74,20,8.05,few clouds
232,Pascagoula,US,30.3658,-88.5561,53.65,100,0,0.0,clear sky
233,Jacareacanga,BR,-6.2222,-57.7528,73.27,98,100,1.72,moderate rain
234,La Paz,BO,-16.5,-68.15,48.18,93,75,4.61,fog
235,Almaznyy,RU,48.0448,40.045,29.37,85,46,9.95,scattered clouds
236,Clyde River,CA,70.4692,-68.5914,-18.17,69,75,8.05,broken clouds
237,Fort Nelson,CA,58.8053,-122.7002,18.99,86,75,6.91,broken clouds
238,Progreso,MX,21.2833,-89.6667,77.11,76,3,12.33,clear sky
239,Temiscaming,CA,46.7212,-79.0971,38.71,60,96,11.5,overcast clouds
240,Kourou,GF,5.1552,-52.6478,79.11,88,99,9.62,overcast clouds
241,Deputatskiy,RU,69.3,139.9,-1.73,92,5,2.84,clear sky
242,Shahreza,IR,32.0339,51.8794,56.43,25,100,3.49,overcast clouds
243,Mersing,MY,2.4312,103.8405,80.51,89,40,2.3,scattered clouds
244,Salalah,OM,17.0151,54.0924,73.49,16,0,1.14,clear sky
245,Arica,CL,-18.475,-70.3042,64.63,72,0,3.44,clear sky
246,Porto Nacional,BR,-10.7081,-48.4172,73.4,91,37,0.96,scattered clouds
247,Batemans Bay,AU,-35.7167,150.1833,74.91,63,31,6.89,scattered clouds
248,Taxisco,GT,14.0708,-90.4631,74.95,74,9,4.03,clear sky
249,Cayenne,GF,4.9333,-52.3333,79.09,1,100,4.61,overcast clouds
250,Krasnokamensk,RU,50.0979,118.0369,25.7,45,4,13.67,clear sky
251,Mizdah,LY,31.4451,12.9801,47.17,85,91,16.96,overcast clouds
252,Zhanaozen,KZ,43.3,52.8,28.04,46,0,10.54,clear sky
253,Warwick,US,41.7001,-71.4162,47.14,70,100,12.66,overcast clouds
254,Kumluca,TR,36.3703,30.2869,44.58,47,54,7.07,broken clouds
255,Upington,ZA,-28.4478,21.2561,64.78,88,20,2.3,few clouds
256,Omsukchan,RU,62.5333,155.8,24.22,94,100,7.87,snow
257,Nizhniy Kuranakh,RU,58.8353,125.4869,23.41,88,100,10.6,light snow
258,Doha,QA,25.2867,51.5333,71.58,32,0,8.05,clear sky
259,Roding,DE,49.1964,12.5186,33.91,66,0,3.15,clear sky
260,Esperance,AU,-33.8667,121.9,66.04,88,99,16.2,overcast clouds
261,Barreirinhas,BR,-2.7469,-42.8264,74.12,94,90,3.74,overcast clouds
262,Umm Kaddadah,SD,13.6017,26.6876,67.41,9,35,13.47,scattered clouds
263,Russell,US,32.3502,-85.1999,50.97,79,0,0.0,clear sky
264,Novikovo,RU,51.1537,37.8879,24.78,97,20,6.15,few clouds
265,Gualdo Tadino,IT,43.2317,12.781,37.09,74,0,5.64,clear sky
266,Gat,IL,31.61,34.7642,51.4,100,39,5.44,scattered clouds
267,Camacha,PT,33.0833,-16.3333,56.62,67,75,9.22,broken clouds
268,Kapuskasing,CA,49.4169,-82.4331,24.89,74,0,11.5,clear sky
269,Canton,CN,23.1167,113.25,80.55,59,94,9.51,overcast clouds
270,Bilibino,RU,68.0546,166.4372,15.17,80,100,4.18,overcast clouds
271,Port Arthur,CN,38.8,121.2667,50.22,69,98,11.88,overcast clouds
272,Bansi,IN,27.1833,82.9333,95.41,16,10,1.48,clear sky
273,Kushima,JP,31.4583,131.2333,53.69,90,100,5.17,overcast clouds
274,Pisco,PE,-13.7,-76.2167,68.05,77,0,2.3,clear sky
275,Chuy,UY,-33.6971,-53.4616,63.9,54,44,12.03,scattered clouds
276,Juba,SS,4.8517,31.5825,83.64,41,89,2.89,overcast clouds
277,Pastos Bons,BR,-6.6017,-44.0767,70.7,87,19,1.61,few clouds
278,Kirakira,SB,-10.4544,161.9205,84.74,67,96,5.46,overcast clouds
279,Saurimo,AO,-9.6608,20.3916,63.73,97,89,2.21,light rain
280,Nouadhibou,MR,20.931,-17.0347,60.78,77,0,24.16,clear sky
281,Tulum,MX,20.2167,-87.4667,75.18,85,3,6.6,clear sky
282,Shingu,JP,33.7333,135.9833,56.68,54,99,7.67,overcast clouds
283,San Quintin,MX,30.4833,-115.95,56.77,88,16,15.88,few clouds
284,Ballina,AU,-28.8667,153.5667,80.78,63,75,17.27,broken clouds
285,Chontalpa,MX,17.7,-93.5167,71.64,98,73,3.83,broken clouds
286,Mar Del Plata,AR,-38.0023,-57.5575,56.88,74,75,13.0,broken clouds
287,Provideniya,RU,64.3833,-173.3,15.91,67,0,4.47,clear sky
288,Taoudenni,ML,22.6783,-3.9836,69.75,21,0,13.44,clear sky
289,Talaya,RU,61.3833,152.75,15.3,94,100,9.71,snow
290,Martapura,ID,-3.4167,114.85,89.33,59,98,4.09,overcast clouds
291,Ostrovnoy,RU,68.0531,39.5131,33.19,92,100,15.17,overcast clouds
292,Price,US,39.5994,-110.8107,36.12,55,100,24.16,overcast clouds
293,San Carlos De Bariloche,AR,-41.1456,-71.3082,47.95,71,40,4.61,light rain
294,Nizhnevartovsk,RU,60.9344,76.5531,21.22,86,100,11.18,light snow
295,Graciano Sanchez,MX,23.9167,-99.2833,68.31,71,24,5.79,few clouds
296,Takoradi,GH,4.8845,-1.7554,78.26,87,65,5.06,broken clouds
297,Ahipara,NZ,-35.1667,173.1667,69.6,81,14,7.81,few clouds
298,Santa Fe,AR,-31.6333,-60.7,66.02,57,89,8.01,light rain
299,Sunbury,AU,-37.5833,144.7333,88.7,41,0,10.36,clear sky
300,Koslan,RU,63.4564,48.8989,25.25,85,100,11.65,overcast clouds
301,Rumphi,MW,-11.0186,33.8575,66.0,98,98,1.23,light rain
302,Lhokseumawe,ID,5.1801,97.1507,81.68,79,100,6.24,overcast clouds
303,Envira,BR,-7.3,-70.2167,71.28,100,100,2.59,overcast clouds
304,Awbari,LY,26.5921,12.7805,51.58,51,0,13.09,clear sky
305,Atbasar,KZ,51.8,68.3333,9.97,92,100,21.36,overcast clouds
306,Sola,VU,-13.8833,167.55,82.85,72,100,11.74,overcast clouds
307,Kosmynino,RU,57.5818,40.7643,35.08,90,60,11.5,broken clouds
308,Ustye,RU,59.6304,39.736,32.63,87,5,9.44,clear sky
309,Lavrentiya,RU,65.5833,-171.0,-2.97,88,3,2.59,clear sky
310,Fonte Boa,BR,-2.4959,-66.2662,70.88,98,94,1.14,overcast clouds
311,Kalmunai,LK,7.4167,81.8167,85.46,66,8,3.18,clear sky
312,Tolga,DZ,34.7222,5.3785,54.41,72,73,6.76,broken clouds
313,Changchun,CN,43.88,125.3228,37.36,39,36,14.41,scattered clouds
314,Hasaki,JP,35.7333,140.8333,54.0,49,100,8.5,overcast clouds
315,Tiznit,MA,29.5833,-9.5,50.72,85,37,1.41,scattered clouds
316,Antofagasta,CL,-23.65,-70.4,63.68,82,46,4.05,scattered clouds
317,Kysyl-Syr,RU,63.8986,122.7617,20.93,87,100,3.44,light snow
318,Shimoda,JP,34.6667,138.95,53.96,69,100,7.02,overcast clouds
319,Vestmannaeyjar,IS,63.4427,-20.2734,39.56,64,100,15.21,overcast clouds
320,Jerecuaro,MX,20.15,-100.5167,59.22,36,5,4.74,clear sky
321,Bonthe,SL,7.5264,-12.505,75.29,84,100,6.29,overcast clouds
322,Dzilam Gonzalez,MX,21.2833,-88.9333,76.01,76,4,7.74,clear sky
323,Asau,RO,46.4333,26.4,29.95,67,26,4.94,scattered clouds
324,Rantauprapat,ID,2.1,99.8333,91.8,47,93,1.19,overcast clouds
325,Alice Springs,AU,-23.7,133.8833,92.75,16,0,10.36,clear sky
326,Fare,PF,-16.7,-151.0167,82.71,67,5,16.93,clear sky
327,Zhigansk,RU,66.7697,123.3711,12.69,85,100,16.31,overcast clouds
328,Maple Grove,US,45.0725,-93.4558,52.48,47,0,6.91,clear sky
329,Bathsheba,BB,13.2167,-59.5167,77.61,73,20,20.71,few clouds
330,Foso,GH,5.7012,-1.2866,73.54,97,100,2.21,overcast clouds
331,Sainte-Suzanne,RE,-20.9061,55.6089,83.46,73,20,3.44,few clouds
